Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
6200000.0 ; 3.633289E-5
6210000.0 ; 3.648333E-5
6220000.0 ; 3.663415E-5
6230000.0 ; 3.678535E-5
6240000.0 ; 3.693693E-5
6250000.0 ; 3.708889E-5
6285000.0 ; 3.762375E-5
6295000.0 ; 3.777743E-5
6303000.0 ; 3.790065E-5
6310000.0 ; 3.800866E-5
6320000.0 ; 3.816329E-5
6330000.0 ; 3.831831E-5
6340000.0 ; 3.847371E-5
6350000.0 ; 3.862949E-5
6360000.0 ; 3.878566E-5
6370000.0 ; 3.894221E-5
6390000.0 ; 3.925647E-5
6400000.0 ; 3.941418E-5
6410000.0 ; 3.957227E-5
6420000.0 ; 3.973075E-5
6430000.0 ; 3.988962E-5
6440000.0 ; 4.004887E-5
6450000.0 ; 4.020851E-5
6470000.0 ; 4.052895E-5
6490000.0 ; 4.085095E-5
6510000.0 ; 4.11745E-5
6540000.0 ; 4.166275E-5
6553000.0 ; 4.187542E-5
6558080.0 ; 4.19587E-5
6560000.0 ; 4.199815E-5
6570000.0 ; 4.220405E-5
6580000.0 ; 4.241064E-5
6590000.0 ; 4.261793E-5
6600000.0 ; 4.282591E-5
6620000.0 ; 4.324397E-5
6640000.0 ; 4.366483E-5
6658000.0 ; 4.404601E-5
6665000.0 ; 4.419486E-5
6670000.0 ; 4.43014E-5
6680000.0 ; 4.4515E-5
6700000.0 ; 4.494433E-5
6750000.0 ; 4.60301E-5
6810000.0 ; 4.735671E-5
6920000.0 ; 4.985679E-5
7000000.0 ; 5.17311E-5
7053000.0 ; 5.282094E-5
7100000.0 ; 5.379957E-5
7140000.0 ; 5.464149E-5
7180000.0 ; 5.549178E-5
7200000.0 ; 5.592007E-5
7220000.0 ; 5.635046E-5
7225000.0 ; 5.645839E-5
7250000.0 ; 5.700001E-5
7270000.0 ; 5.743568E-5
7280000.0 ; 5.765431E-5
7340000.0 ; 5.897726E-5
7350000.0 ; 5.919961E-5
7360000.0 ; 5.94225E-5
7370000.0 ; 5.964593E-5
7400000.0 ; 6.031942E-5
7420000.0 ; 6.077109E-5
7470000.0 ; 6.190971E-5
7529000.0 ; 6.327068E-5
7542000.0 ; 6.35731E-5
7553000.0 ; 6.382971E-5
7594000.0 ; 6.479199E-5
7620000.0 ; 6.540699E-5
7641410.0 ; 6.59162E-5
7650000.0 ; 6.609031E-5
7667000.0 ; 6.643565E-5
7680000.0 ; 6.670044E-5
7698000.0 ; 6.706807E-5
7700000.0 ; 6.710898E-5
7725000.0 ; 6.762168E-5
7745000.0 ; 6.803345E-5
7750000.0 ; 6.813661E-5
7770000.0 ; 6.855018E-5
7789000.0 ; 6.89444E-5
7810000.0 ; 6.938162E-5
7819000.0 ; 6.956949E-5
7860000.0 ; 7.042902E-5
7886400.0 ; 7.098569E-5
7886448.0 ; 7.09867E-5
7888000.0 ; 7.101951E-5
7897000.0 ; 7.120991E-5
7930000.0 ; 7.191055E-5
7936000.0 ; 7.203836E-5
8000000.0 ; 7.34098E-5
8005000.0 ; 7.350908E-5
8010000.0 ; 7.360843E-5
8014000.0 ; 7.368796E-5
8044000.0 ; 7.428592E-5
8053000.0 ; 7.446581E-5
8079000.0 ; 7.498682E-5
8080000.0 ; 7.50069E-5
8100000.0 ; 7.540907E-5
8101000.0 ; 7.54292E-5
8105000.0 ; 7.550979E-5
8109000.0 ; 7.559042E-5
8120000.0 ; 7.581239E-5
8131000.0 ; 7.603471E-5
8138000.0 ; 7.617636E-5
8160000.0 ; 7.66225E-5
8166000.0 ; 7.674442E-5
8200000.0 ; 7.743724E-5
8210000.0 ; 7.764165E-5
8218000.0 ; 7.780539E-5
8240000.0 ; 7.825662E-5
8280000.0 ; 7.908064E-5
8295800.0 ; 7.940741E-5
8296200.0 ; 7.941569E-5
8296218.0 ; 7.941606E-5
8320000.0 ; 7.99093E-5
8330000.0 ; 8.01172E-5
8391000.0 ; 8.139163E-5
8400000.0 ; 8.158057E-5
8426000.0 ; 8.212774E-5
8448000.0 ; 8.259226E-5
8450000.0 ; 8.263456E-5
8480000.0 ; 8.327045E-5
8499500.0 ; 8.368519E-5
8500000.0 ; 8.369583E-5
8520000.0 ; 8.412238E-5
8553000.0 ; 8.482874E-5
8600000.0 ; 8.584024E-5
8611000.0 ; 8.60779E-5
8664000.0 ; 8.722798E-5
8700000.0 ; 8.801384E-5
8708000.0 ; 8.818899E-5
8724740.0 ; 8.85561E-5
8750000.0 ; 8.852151E-5
8768000.0 ; 8.849694E-5
8800000.0 ; 8.845339E-5
8833000.0 ; 8.840866E-5
8850000.0 ; 8.838569E-5
8885000.0 ; 8.833857E-5
8920000.0 ; 8.829165E-5
8940000.0 ; 8.826494E-5
8980000.0 ; 8.821171E-5
9000000.0 ; 8.81852E-5
9005000.0 ; 8.817813E-5
9020000.0 ; 8.815694E-5
9030000.0 ; 8.814284E-5
9045000.0 ; 8.812172E-5
9053000.0 ; 8.811048E-5
9067000.0 ; 8.809082E-5
9080000.0 ; 8.80726E-5
9149000.0 ; 8.79764E-5
9163000.0 ; 8.795698E-5
9180000.0 ; 8.793345E-5
9219000.0 ; 8.787964E-5
9250000.0 ; 8.783706E-5
9254000.0 ; 8.783158E-5
9300000.0 ; 8.776873E-5
9360000.0 ; 8.768728E-5
9400000.0 ; 8.763331E-5
9450000.0 ; 8.756622E-5
9500000.0 ; 8.749953E-5
9522000.0 ; 8.747032E-5
9553000.0 ; 8.742928E-5
9560000.0 ; 8.742003E-5
9590000.0 ; 8.73805E-5
9600000.0 ; 8.736735E-5
9630000.0 ; 8.732801E-5
9640000.0 ; 8.731492E-5
9678000.0 ; 8.726534E-5
